Date	Time	Cause	IP	Name	User agent	Request method	Request URI	Comment
2009-04-15	20:05:43	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	10 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:50	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	10 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:51	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	10 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:52	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	10 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:55	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	10 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:55	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	11 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:55	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	12 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:55	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	13 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:55	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	14 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:56	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	15 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:56	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	16 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:56	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	17 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:56	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	18 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:56	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	19 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:57	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	20 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:57	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	21 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:57	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	22 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:57	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	23 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:57	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	24 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:58	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	24 requests in less than 10 seconds (max = 10)
2009-04-15	20:05:58	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	25 requests in less than 10 seconds (max = 10)
2009-04-15	20:06:00	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	24 requests in less than 10 seconds (max = 10)
2009-04-15	20:06:01	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	24 requests in less than 10 seconds (max = 10)
2009-04-15	20:06:02	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	24 requests in less than 10 seconds (max = 10)
2009-04-15	20:06:04	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	22 requests in less than 10 seconds (max = 10)
2009-04-15	20:06:05	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	21 requests in less than 10 seconds (max = 10)
2009-04-15	20:06:06	Flooding	99.229.141.241	CPE000272769767-CM000a739cb97a.cpe.net.cable.rogers.com	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20 (.NET CLR 3.5.30729)	GET	/	17 requests in less than 10 seconds (max = 10)
